역번호,호선,updnLine,시간대,요일_카테고리,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_1_fft,congestionCar_2_fft,congestionCar_3_fft,congestionCar_4_fft,congestionCar_5_fft,congestionCar_6_fft,congestionCar_7_fft,congestionCar_8_fft
635,6.000000,0.000000,530.000000,일요일,12.047619,14.285714,10.095238,12.523810,8.000000,10.095238,5.285714,12.904762,24.095238,28.571429,28.190476,25.047619,16.000000,20.190476,10.571429,25.809524
636,6.000000,0.000000,530.000000,일요일,11.952381,14.600000,9.980952,11.771429,8.028571,10.552381,6.314286,13.200000,23.904762,29.200000,25.961905,23.542857,16.057143,21.104762,12.628571,26.400000
637,6.000000,0.000000,530.000000,일요일,11.857143,14.914286,9.866667,11.019048,8.057143,11.009524,7.342857,13.495238,23.714286,29.828571,23.733333,22.038095,16.114286,22.019048,14.685714,26.990476
638,6.000000,0.000000,530.000000,일요일,11.761905,15.228571,9.752381,10.266667,8.085714,11.466667,8.371429,13.790476,23.523810,30.457143,21.504762,20.533333,16.171429,22.933333,16.742857,27.580952
639,6.000000,0.000000,530.000000,일요일,11.666667,15.542857,9.638095,9.514286,8.114286,11.923810,9.400000,14.085714,23.333333,31.085714,19.276190,19.028571,16.228571,23.847619,18.800000,28.171429
640,6.000000,0.000000,530.000000,일요일,11.571429,15.857143,9.523810,8.761905,8.142857,12.380952,10.428571,14.380952,23.142857,31.714286,19.047619,17.523810,16.285714,24.761905,20.857143,28.761905
641,6.000000,0.000000,530.000000,일요일,9.879365,13.630159,8.574603,7.487302,6.858730,10.593651,9.231746,13.160317,19.758730,27.260317,17.149206,14.974603,13.717460,21.187302,18.463492,26.320635
642,6.000000,0.000000,530.000000,일요일,8.187302,11.403175,7.625397,6.212698,5.574603,8.806349,8.034921,11.939683,16.374603,22.806349,15.250794,12.425397,11.149206,17.612698,16.069841,23.879365
643,6.000000,0.000000,530.000000,일요일,6.495238,9.176190,6.676190,4.938095,4.290476,7.019048,6.838095,10.719048,12.990476,18.352381,13.352381,11.066667,8.580952,14.038095,13.676190,21.438095
644,6.000000,0.000000,530.000000,일요일,4.803175,6.949206,5.726984,3.663492,3.006349,5.231746,5.641270,9.498413,12.038095,13.898413,11.453968,10.342857,6.012698,10.463492,11.282540,18.996825
645,6.000000,0.000000,530.000000,일요일,3.111111,4.722222,4.777778,2.388889,1.722222,3.444444,4.444444,8.277778,12.380952,9.444444,9.555556,9.619048,4.095238,6.888889,8.888889,16.555556
646,6.000000,0.000000,530.000000,일요일,3.111111,4.722222,4.777778,2.388889,1.722222,3.444444,4.444444,8.277778,8.253968,9.444444,9.555556,6.901587,3.444444,6.888889,8.888889,16.555556
647,6.000000,0.000000,530.000000,일요일,3.111111,4.722222,4.777778,2.388889,1.722222,3.444444,4.444444,8.277778,6.222222,9.444444,9.555556,4.777778,3.444444,6.888889,8.888889,16.555556
648,6.000000,0.000000,530.000000,일요일,3.111111,4.722222,4.777778,2.388889,1.722222,3.444444,4.444444,8.277778,6.222222,9.444444,9.555556,4.777778,3.444444,6.888889,8.888889,16.555556
610,6.000000,0.000000,530.000000,토요일,2.000000,4.000000,4.333333,5.095238,7.095238,4.761905,4.333333,1.666667,15.333333,8.952381,20.476190,32.666667,27.523810,48.095238,26.095238,23.333333
611,6.000000,0.000000,530.000000,토요일,2.696429,4.410714,5.130952,6.327381,7.255952,5.071429,4.619048,1.958333,12.357143,8.821429,17.214286,27.023810,22.285714,37.714286,20.952381,18.666667
612,6.000000,0.000000,530.000000,토요일,3.392857,4.821429,5.928571,7.559524,7.416667,5.380952,4.904762,2.250000,9.380952,9.642857,13.952381,21.380952,17.047619,27.333333,15.809524,14.000000
613,6.000000,0.000000,530.000000,토요일,4.089286,5.232143,6.726190,8.791667,7.577381,5.690476,5.190476,2.541667,8.178571,10.464286,13.452381,17.583333,15.154762,16.952381,10.666667,9.333333
614,6.000000,0.000000,530.000000,토요일,4.785714,5.642857,7.523810,10.023810,7.738095,6.000000,5.476190,2.833333,9.571429,11.285714,15.047619,20.047619,15.476190,12.000000,10.952381,5.666667
615,6.000000,0.000000,530.000000,토요일,5.482143,6.053571,8.321429,11.255952,7.898810,6.309524,5.761905,3.125000,10.964286,12.107143,16.642857,22.511905,15.797619,17.547619,11.857143,9.476190
616,6.000000,0.000000,530.000000,토요일,6.178571,6.464286,9.119048,12.488095,8.059524,6.619048,6.047619,3.416667,18.142857,14.380952,22.285714,27.714286,19.238095,28.523810,18.190476,14.285714
617,6.000000,0.000000,530.000000,토요일,6.875000,6.875000,9.916667,13.720238,8.220238,6.928571,6.333333,3.708333,25.500000,20.190476,29.714286,36.523810,25.571429,39.500000,24.523810,19.095238
618,6.000000,0.000000,530.000000,토요일,7.571429,7.285714,10.714286,14.952381,8.380952,7.238095,6.619048,4.000000,32.857143,26.000000,37.142857,45.333333,31.904762,50.476190,30.857143,23.904762
619,6.000000,0.000000,530.000000,토요일,7.226190,7.166667,10.238095,13.869048,7.333333,6.773810,6.333333,3.952381,36.404762,31.214286,42.071429,49.309524,36.833333,54.690476,35.500000,28.071429
620,6.000000,0.000000,530.000000,토요일,6.880952,7.047619,9.761905,12.785714,6.285714,6.309524,6.047619,3.904762,39.952381,36.428571,47.000000,53.285714,41.761905,58.904762,40.142857,32.238095
621,6.000000,0.000000,530.000000,토요일,6.535714,6.928571,9.285714,11.702381,5.238095,5.845238,5.761905,3.857143,43.500000,41.642857,51.928571,57.261905,46.690476,63.119048,44.785714,36.404762
622,6.000000,0.000000,530.000000,토요일,6.190476,6.809524,8.809524,10.619048,4.190476,5.380952,5.476190,3.809524,47.047619,46.857143,56.857143,61.238095,51.619048,67.333333,49.428571,40.571429
623,6.000000,0.000000,530.000000,토요일,6.785714,7.571429,9.904762,11.726190,4.988095,6.690476,6.035714,4.190476,50.523810,49.857143,58.047619,59.690476,51.095238,63.571429,49.857143,41.238095
624,6.000000,0.000000,530.000000,토요일,7.380952,8.333333,11.000000,12.833333,5.785714,8.000000,6.595238,4.571429,54.000000,52.857143,59.238095,58.142857,50.571429,59.809524,50.285714,41.904762
625,6.000000,0.000000,530.000000,토요일,7.976190,9.095238,12.095238,13.940476,6.583333,9.309524,7.154762,4.952381,57.476190,55.857143,60.428571,56.595238,50.047619,56.047619,50.714286,42.571429
626,6.000000,0.000000,530.000000,토요일,8.571429,9.857143,13.190476,15.047619,7.380952,10.619048,7.714286,5.333333,60.952381,58.857143,61.619048,55.047619,49.523810,52.285714,51.142857,43.238095
627,6.000000,0.000000,530.000000,토요일,8.392857,10.250000,12.642857,13.345238,6.869048,9.678571,6.690476,4.976190,54.547619,51.095238,54.238095,45.738095,42.500000,42.238095,41.690476,35.404762
628,6.000000,0.000000,530.000000,토요일,8.214286,10.642857,12.095238,11.642857,6.357143,8.738095,5.666667,4.619048,48.142857,43.333333,46.857143,36.428571,35.476190,32.190476,32.238095,27.571429
629,6.000000,0.000000,530.000000,토요일,8.035714,11.035714,11.547619,9.940476,5.845238,7.797619,4.642857,4.261905,41.738095,35.571429,39.476190,27.119048,28.452381,22.142857,22.785714,19.738095
630,6.000000,0.000000,530.000000,토요일,7.857143,11.428571,11.000000,8.238095,5.333333,6.857143,3.619048,3.904762,35.333333,27.809524,32.095238,17.809524,21.428571,13.714286,13.333333,11.904762
631,6.000000,0.000000,530.000000,토요일,9.552381,13.047619,11.466667,9.895238,6.409524,8.200000,4.380952,6.533333,31.428571,26.876190,31.847619,19.790476,20.304762,16.400000,12.419048,13.066667
632,6.000000,0.000000,530.000000,토요일,11.247619,14.666667,11.933333,11.552381,7.485714,9.542857,5.142857,9.161905,27.523810,29.333333,31.600000,23.104762,19.180952,19.085714,11.504762,18.323810
633,6.000000,0.000000,530.000000,토요일,12.942857,16.285714,12.400000,13.209524,8.561905,10.885714,5.904762,11.790476,25.885714,32.571429,31.352381,26.419048,18.057143,21.771429,11.809524,23.580952
634,6.000000,0.000000,530.000000,토요일,14.638095,17.904762,12.866667,14.866667,9.638095,12.228571,6.666667,14.419048,29.276190,35.809524,31.104762,29.733333,19.276190,24.457143,13.333333,28.838095
635,6.000000,0.000000,530.000000,토요일,16.333333,19.523810,13.333333,16.523810,10.714286,13.571429,7.428571,17.047619,32.666667,39.047619,30.857143,33.047619,21.428571,27.142857,14.857143,34.095238
636,6.000000,0.000000,530.000000,토요일,16.247619,20.152381,13.314286,15.580952,10.771429,14.380952,8.923810,17.657143,32.495238,40.304762,28.114286,31.161905,21.542857,28.761905,17.847619,35.314286
637,6.000000,0.000000,530.000000,토요일,16.161905,20.780952,13.295238,14.638095,10.828571,15.190476,10.419048,18.266667,32.323810,41.561905,26.590476,29.276190,21.657143,30.380952,20.838095,36.533333
638,6.000000,0.000000,530.000000,토요일,16.076190,21.409524,13.276190,13.695238,10.885714,16.000000,11.914286,18.876190,32.152381,42.819048,26.552381,27.390476,21.771429,32.000000,23.828571,37.752381
639,6.000000,0.000000,530.000000,토요일,15.990476,22.038095,13.257143,12.752381,10.942857,16.809524,13.409524,19.485714,31.980952,44.076190,26.514286,25.504762,21.885714,33.619048,26.819048,38.971429
640,6.000000,0.000000,530.000000,토요일,15.904762,22.666667,13.238095,11.809524,11.000000,17.619048,14.904762,20.095238,31.809524,45.333333,26.476190,23.619048,22.000000,35.238095,29.809524,40.190476
641,6.000000,0.000000,530.000000,토요일,13.546032,19.355556,11.879365,10.125397,9.266667,15.050794,13.012698,18.253968,27.092063,38.711111,23.758730,20.250794,18.533333,30.101587,26.025397,36.507937
642,6.000000,0.000000,530.000000,토요일,11.187302,16.044444,10.520635,8.441270,7.533333,12.482540,11.120635,16.412698,22.374603,32.088889,21.041270,16.882540,15.066667,24.965079,22.241270,32.825397
643,6.000000,0.000000,530.000000,토요일,8.828571,12.733333,9.161905,6.757143,5.800000,9.914286,9.228571,14.571429,17.657143,25.466667,18.323810,13.514286,11.600000,19.828571,18.457143,29.142857
644,6.000000,0.000000,530.000000,토요일,6.469841,9.422222,7.803175,5.073016,4.066667,7.346032,7.336508,12.730159,12.939683,18.844444,15.606349,10.146032,8.133333,14.692063,14.673016,25.460317
645,6.000000,0.000000,530.000000,토요일,4.111111,6.111111,6.444444,3.388889,2.333333,4.777778,5.444444,10.888889,9.619048,12.222222,12.888889,8.380952,4.666667,9.555556,10.888889,21.777778
646,6.000000,0.000000,530.000000,토요일,4.111111,6.111111,6.444444,3.388889,2.333333,4.777778,5.444444,10.888889,8.222222,12.222222,12.888889,6.777778,4.666667,9.555556,10.888889,21.777778
647,6.000000,0.000000,530.000000,토요일,4.111111,6.111111,6.444444,3.388889,2.333333,4.777778,5.444444,10.888889,8.222222,12.222222,12.888889,6.777778,4.666667,9.555556,10.888889,21.777778
648,6.000000,0.000000,530.000000,토요일,4.111111,6.111111,6.444444,3.388889,2.333333,4.777778,5.444444,10.888889,8.222222,12.222222,12.888889,6.777778,4.666667,9.555556,10.888889,21.777778
610,6.000000,0.000000,530.000000,평일,2.174603,4.619048,3.587302,6.190476,5.634921,4.619048,3.111111,1.174603,38.857143,19.650794,33.777778,49.428571,39.206349,84.920635,44.857143,46.412698
611,6.000000,0.000000,530.000000,평일,2.574074,4.666667,4.387346,7.168210,5.932099,4.748457,3.222222,1.422840,31.087302,15.904762,28.444444,39.507937,31.071429,67.468254,35.317460,37.087302
612,6.000000,0.000000,530.000000,평일,2.973545,4.714286,5.187390,8.145944,6.229277,4.877866,3.333333,1.671076,23.317460,12.158730,23.111111,29.587302,22.936508,50.015873,25.777778,27.761905
613,6.000000,0.000000,530.000000,평일,3.373016,4.761905,5.987434,9.123677,6.526455,5.007275,3.444444,1.919312,15.547619,9.523810,17.777778,19.666667,14.801587,32.563492,16.238095,18.436508
614,6.000000,0.000000,530.000000,평일,3.772487,4.809524,6.787478,10.101411,6.823633,5.136684,3.555556,2.167549,7.777778,9.619048,13.574956,20.202822,13.647266,15.111111,7.111111,9.111111
615,6.000000,0.000000,530.000000,평일,4.171958,4.857143,7.587522,11.079145,7.120811,5.266093,3.666667,2.415785,16.000000,12.937500,23.402778,22.158289,18.833333,32.520833,16.933532,16.847222
616,6.000000,0.000000,530.000000,평일,4.571429,4.904762,8.387566,12.056878,7.417989,5.395503,3.777778,2.664021,24.222222,21.208333,34.361111,29.720238,31.000000,49.930556,27.168651,24.583333
617,6.000000,0.000000,530.000000,평일,4.970899,4.952381,9.187610,13.034612,7.715168,5.524912,3.888889,2.912257,32.444444,29.479167,45.319444,39.707341,43.166667,67.340278,37.403770,32.319444
618,6.000000,0.000000,530.000000,평일,5.370370,5.000000,9.987654,14.012346,8.012346,5.654321,4.000000,3.160494,40.666667,37.750000,56.277778,49.694444,55.333333,84.750000,47.638889,40.055556
619,6.000000,0.000000,530.000000,평일,4.962963,5.188272,9.521605,12.969136,6.932099,4.753086,3.438272,3.141975,44.270833,44.875000,58.319444,52.083333,57.826389,91.534722,50.041667,43.256944
620,6.000000,0.000000,530.000000,평일,4.555556,5.376543,9.055556,11.925926,5.851852,3.851852,2.876543,3.123457,47.875000,52.000000,60.361111,54.472222,60.319444,98.319444,52.444444,46.458333
621,6.000000,0.000000,530.000000,평일,4.148148,5.564815,8.589506,10.882716,4.771605,2.950617,2.314815,3.104938,51.479167,59.125000,62.402778,56.861111,62.812500,105.104167,54.847222,49.659722
622,6.000000,0.000000,530.000000,평일,3.740741,5.753086,8.123457,9.839506,3.691358,2.049383,1.753086,3.086420,55.083333,66.250000,64.444444,59.250000,65.305556,111.888889,57.250000,52.861111
623,6.000000,0.000000,530.000000,평일,4.468750,6.064815,8.964120,9.966435,4.087963,2.762731,2.255787,3.353009,57.407738,67.703373,66.436508,58.993056,63.344246,102.599206,58.421627,54.622024
624,6.000000,0.000000,530.000000,평일,5.196759,6.376543,9.804784,10.093364,4.484568,3.476080,2.758488,3.619599,59.732143,69.156746,68.428571,58.736111,61.382937,93.309524,59.593254,56.382937
625,6.000000,0.000000,530.000000,평일,5.924769,6.688272,10.645448,10.220293,4.881173,4.189429,3.261188,3.886188,62.056548,70.610119,70.420635,58.479167,59.421627,84.019841,60.764881,58.143849
626,6.000000,0.000000,530.000000,평일,6.652778,7.000000,11.486111,10.347222,5.277778,4.902778,3.763889,4.152778,64.380952,72.063492,72.412698,58.222222,57.460317,74.730159,61.936508,59.904762
627,6.000000,0.000000,530.000000,평일,7.590278,8.690972,12.229167,10.569444,5.555556,5.798611,4.173611,4.375000,56.801587,60.047619,62.968254,49.428571,49.031746,61.388889,50.936508,49.365079
628,6.000000,0.000000,530.000000,평일,8.527778,10.381944,12.972222,10.791667,5.833333,6.694444,4.583333,4.597222,49.222222,48.031746,53.523810,40.634921,40.603175,48.047619,39.936508,38.825397
629,6.000000,0.000000,530.000000,평일,9.465278,12.072917,13.715278,11.013889,6.111111,7.590278,4.993056,4.819444,41.642857,36.015873,44.079365,31.841270,32.174603,34.706349,28.936508,28.285714
630,6.000000,0.000000,530.000000,평일,10.402778,13.763889,14.458333,11.236111,6.388889,8.486111,5.402778,5.041667,34.063492,27.527778,34.634921,23.047619,23.746032,21.365079,17.936508,17.746032
631,6.000000,0.000000,530.000000,평일,12.483333,15.000000,15.461111,12.652778,8.138889,10.530556,6.969444,9.502778,30.698413,30.000000,32.907937,25.305556,22.450794,21.061111,15.307937,19.005556
632,6.000000,0.000000,530.000000,평일,14.563889,16.236111,16.463889,14.069444,9.888889,12.575000,8.536111,13.963889,29.127778,32.472222,32.927778,28.138889,21.155556,25.150000,17.072222,27.927778
633,6.000000,0.000000,530.000000,평일,16.644444,17.472222,17.466667,15.486111,11.638889,14.619444,10.102778,18.425000,33.288889,34.944444,34.933333,30.972222,23.277778,29.238889,20.205556,36.850000
634,6.000000,0.000000,530.000000,평일,18.725000,18.708333,18.469444,16.902778,13.388889,16.663889,11.669444,22.886111,37.450000,37.416667,36.938889,33.805556,26.777778,33.327778,23.338889,45.772222
635,6.000000,0.000000,530.000000,평일,20.805556,19.944444,19.472222,18.319444,15.138889,18.708333,13.236111,27.347222,41.611111,39.888889,38.944444,36.638889,30.277778,37.416667,26.472222,54.694444
636,6.000000,0.000000,530.000000,평일,21.141667,20.391667,19.958333,18.461111,17.036111,20.619444,16.380556,27.986111,42.283333,40.783333,39.916667,36.922222,34.072222,41.238889,32.761111,55.972222
637,6.000000,0.000000,530.000000,평일,21.477778,20.838889,20.444444,18.602778,18.933333,22.530556,19.525000,28.625000,42.955556,41.677778,40.888889,37.205556,37.866667,45.061111,39.050000,57.250000
638,6.000000,0.000000,530.000000,평일,21.813889,21.286111,20.930556,18.744444,20.830556,24.441667,22.669444,29.263889,43.627778,42.572222,41.861111,37.488889,41.661111,48.883333,45.338889,58.527778
639,6.000000,0.000000,530.000000,평일,22.150000,21.733333,21.416667,18.886111,22.727778,26.352778,25.813889,29.902778,44.300000,43.466667,42.833333,37.772222,45.455556,52.705556,51.627778,59.805556
640,6.000000,0.000000,530.000000,평일,22.486111,22.180556,21.902778,19.027778,24.625000,28.263889,28.958333,30.541667,44.972222,44.361111,43.805556,38.055556,49.250000,56.527778,57.916667,61.083333
641,6.000000,0.000000,530.000000,평일,19.366667,19.220635,19.109524,16.193651,21.001587,24.773016,25.382540,26.985714,38.733333,38.441270,38.219048,32.387302,42.003175,49.546032,50.765079,53.971429
642,6.000000,0.000000,530.000000,평일,16.247222,16.260714,16.316270,13.359524,17.378175,21.282143,21.806746,23.429762,32.494444,32.521429,32.632540,26.719048,34.756349,42.564286,43.613492,46.859524
643,6.000000,0.000000,530.000000,평일,13.127778,13.300794,13.523016,10.525397,13.754762,17.791270,18.230952,19.873810,26.255556,26.601587,27.046032,21.050794,27.509524,35.582540,36.461905,39.747619
644,6.000000,0.000000,530.000000,평일,10.008333,10.340873,10.729762,7.691270,10.131349,14.300397,14.655159,16.317857,20.016667,20.681746,21.459524,15.382540,20.262698,28.600794,29.310317,32.635714
645,6.000000,0.000000,530.000000,평일,6.888889,7.380952,7.936508,4.857143,6.507937,10.809524,11.079365,12.761905,18.861111,14.761905,15.873016,11.111111,13.015873,21.619048,22.158730,25.523810
646,6.000000,0.000000,530.000000,평일,6.888889,7.380952,7.936508,4.857143,6.507937,10.809524,11.079365,12.761905,13.777778,14.761905,15.873016,9.714286,13.015873,21.619048,22.158730,25.523810
647,6.000000,0.000000,530.000000,평일,6.888889,7.380952,7.936508,4.857143,6.507937,10.809524,11.079365,12.761905,13.777778,14.761905,15.873016,9.714286,13.015873,21.619048,22.158730,25.523810
648,6.000000,0.000000,530.000000,평일,6.888889,7.380952,7.936508,4.857143,6.507937,10.809524,11.079365,12.761905,13.777778,14.761905,15.873016,9.714286,13.015873,21.619048,22.158730,25.523810
610,6.000000,0.000000,630.000000,일요일,0.690476,2.904762,4.238095,7.023810,4.833333,4.761905,3.404762,0.976190,10.476190,7.095238,15.904762,18.904762,18.238095,24.285714,16.523810,14.761905
611,6.000000,0.000000,630.000000,일요일,1.068452,3.110119,4.511905,7.410714,5.113095,4.877976,3.732143,1.306548,8.607143,6.220238,13.369048,15.690476,14.785714,19.130952,12.809524,11.738095
612,6.000000,0.000000,630.000000,일요일,1.446429,3.315476,4.785714,7.797619,5.392857,4.994048,4.059524,1.636905,6.738095,6.630952,10.833333,15.595238,11.333333,13.976190,9.095238,8.714286
613,6.000000,0.000000,630.000000,일요일,1.824405,3.520833,5.059524,8.184524,5.672619,5.110119,4.386905,1.967262,4.869048,7.041667,10.119048,16.369048,11.345238,10.220238,8.773810,5.690476
614,6.000000,0.000000,630.000000,일요일,2.202381,3.726190,5.333333,8.571429,5.952381,5.226190,4.714286,2.297619,4.404762,7.452381,10.666667,17.142857,11.904762,10.452381,9.428571,4.595238
615,6.000000,0.000000,630.000000,일요일,2.580357,3.931548,5.607143,8.958333,6.232143,5.342262,5.041667,2.627976,5.750000,7.863095,11.214286,17.916667,12.464286,10.684524,10.083333,6.678571
616,6.000000,0.000000,630.000000,일요일,2.958333,4.136905,5.880952,9.345238,6.511905,5.458333,5.369048,2.958333,8.500000,10.904762,11.761905,18.690476,14.928571,15.880952,11.452381,10.690476
617,6.000000,0.000000,630.000000,일요일,3.336310,4.342262,6.154762,9.732143,6.791667,5.574405,5.696429,3.288690,11.250000,15.166667,14.511905,19.464286,20.178571,21.988095,16.345238,14.702381
618,6.000000,0.000000,630.000000,일요일,3.714286,4.547619,6.428571,10.119048,7.071429,5.690476,6.023810,3.619048,14.000000,19.428571,17.428571,22.380952,25.428571,28.095238,21.238095,18.714286
619,6.000000,0.000000,630.000000,일요일,5.178571,6.422619,9.446429,11.791667,8.785714,7.422619,7.791667,5.833333,14.678571,19.869048,18.892857,23.583333,26.226190,30.119048,22.642857,19.380952
620,6.000000,0.000000,630.000000,일요일,6.642857,8.297619,12.464286,13.464286,10.500000,9.154762,9.559524,8.047619,15.357143,20.309524,24.928571,26.928571,27.023810,32.142857,24.047619,20.047619
621,6.000000,0.000000,630.000000,일요일,8.107143,10.172619,15.482143,15.136905,12.214286,10.886905,11.327381,10.261905,16.214286,20.750000,30.964286,30.273810,27.821429,34.166667,25.452381,20.714286
622,6.000000,0.000000,630.000000,일요일,9.571429,12.047619,18.500000,16.809524,13.928571,12.619048,13.095238,12.476190,19.142857,24.095238,37.000000,33.619048,28.619048,36.190476,26.857143,24.952381
