역번호,호선,updnLine,시간대,요일_카테고리,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_1_fft,congestionCar_2_fft,congestionCar_3_fft,congestionCar_4_fft,congestionCar_5_fft,congestionCar_6_fft,congestionCar_7_fft,congestionCar_8_fft
510,5.000000,0.000000,530.000000,일요일,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
511,5.000000,0.000000,530.000000,일요일,1.280423,1.470899,2.280423,2.476190,2.465608,2.555556,2.333333,1.555556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
512,5.000000,0.000000,530.000000,일요일,2.560847,2.941799,4.560847,4.952381,4.931217,5.111111,4.666667,3.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
513,5.000000,0.000000,530.000000,일요일,3.841270,4.412698,6.841270,7.428571,7.396825,7.666667,7.000000,4.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
514,5.000000,0.000000,530.000000,일요일,5.121693,5.883598,9.121693,9.904762,9.862434,10.222222,9.333333,6.222222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
515,5.000000,0.000000,530.000000,일요일,6.402116,7.354497,11.402116,12.380952,12.328042,12.777778,11.666667,7.777778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
516,5.000000,0.000000,530.000000,일요일,7.682540,8.825397,13.682540,14.857143,14.793651,15.333333,14.000000,9.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
517,5.000000,0.000000,530.000000,일요일,8.962963,10.296296,15.962963,17.333333,17.259259,17.888889,16.333333,10.888889,23.238095,31.047619,31.925926,34.666667,34.518519,35.777778,32.666667,21.777778
518,5.000000,0.000000,530.000000,일요일,8.253086,9.135802,14.265432,15.543210,15.530864,15.907407,14.234568,9.481481,27.392857,35.511905,32.055556,31.086420,31.061728,31.814815,28.469136,19.664683
519,5.000000,0.000000,530.000000,일요일,7.543210,7.975309,12.567901,13.753086,13.802469,13.925926,12.135802,8.074074,31.547619,39.976190,36.111111,31.436508,27.956349,27.851852,24.271605,24.281746
