역번호,호선,updnLine,시간대,요일_카테고리,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_1_fft,congestionCar_2_fft,congestionCar_3_fft,congestionCar_4_fft,congestionCar_5_fft,congestionCar_6_fft,congestionCar_7_fft,congestionCar_8_fft
610,8.000000,0,530.000000,일요일,1.666667,3.333333,3.380952,4.333333,5.619048,3.952381,3.380952,1.095238,1.666667,3.333333,3.380952,4.333333,5.619048,3.952381,3.380952,1.095238
611,8.000000,0,530.000000,일요일,2.214286,3.583333,3.946429,5.154762,5.696429,4.130952,3.571429,1.380952,2.214286,3.583333,3.946429,5.154762,5.696429,4.130952,3.571429,1.380952
612,8.000000,0,530.000000,일요일,2.761905,3.833333,4.511905,5.976190,5.773810,4.309524,3.761905,1.666667,2.761905,3.833333,4.511905,5.976190,5.773810,4.309524,3.761905,1.666667
613,8.000000,0,530.000000,일요일,3.309524,4.083333,5.077381,6.797619,5.851190,4.488095,3.952381,1.952381,3.309524,4.083333,5.077381,6.797619,5.851190,4.488095,3.952381,1.952381
614,8.000000,0,530.000000,일요일,3.857143,4.333333,5.642857,7.619048,5.928571,4.666667,4.142857,2.238095,3.857143,4.333333,5.642857,7.619048,5.928571,4.666667,4.142857,2.238095
615,8.000000,0,530.000000,일요일,4.404762,4.583333,6.208333,8.440476,6.005952,4.845238,4.333333,2.523810,4.404762,4.583333,6.208333,8.440476,6.005952,4.845238,4.333333,2.523810
616,8.000000,0,530.000000,일요일,4.952381,4.833333,6.773810,9.261905,6.083333,5.023810,4.523810,2.809524,4.952381,4.833333,6.773810,9.261905,6.083333,5.023810,4.523810,2.809524
617,8.000000,0,530.000000,일요일,5.500000,5.083333,7.339286,10.083333,6.160714,5.202381,4.714286,3.095238,5.500000,5.083333,7.339286,10.083333,6.160714,5.202381,4.714286,3.095238
618,8.000000,0,530.000000,일요일,6.047619,5.333333,7.904762,10.904762,6.238095,5.380952,4.904762,3.380952,6.047619,5.333333,7.904762,10.904762,6.238095,5.380952,4.904762,3.380952
619,8.000000,0,530.000000,일요일,5.857143,5.476190,7.940476,10.511905,5.619048,5.261905,4.880952,3.428571,5.857143,5.476190,7.940476,10.511905,5.619048,5.261905,4.880952,3.428571
