역번호,호선,updnLine,시간대,요일_카테고리,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_9,congestionCar_10,congestionCar_1_fft,congestionCar_2_fft,congestionCar_3_fft,congestionCar_4_fft,congestionCar_5_fft,congestionCar_6_fft,congestionCar_7_fft,congestionCar_8_fft,congestionCar_9_fft,congestionCar_10_fft
409,8.000000,0,530.000000,일요일,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
410,8.000000,0,530.000000,일요일,0.687500,0.854167,1.020833,1.187500,1.187500,1.020833,1.020833,1.020833,1.020833,1.020833,0.687500,0.854167,1.020833,1.187500,1.187500,1.020833,1.020833,1.020833,1.020833,1.020833
411,8.000000,0,530.000000,일요일,1.375000,1.708333,2.041667,2.375000,2.375000,2.041667,2.041667,2.041667,2.041667,2.041667,1.375000,1.708333,2.041667,2.375000,2.375000,2.041667,2.041667,2.041667,2.041667,2.041667
412,8.000000,0,530.000000,일요일,2.197917,3.364583,4.833333,4.531250,4.187500,3.614583,4.020833,3.854167,4.020833,3.531250,2.197917,3.364583,4.833333,4.531250,4.187500,3.614583,4.020833,3.854167,4.020833,3.531250
413,8.000000,0,530.000000,일요일,3.020833,5.020833,7.625000,6.687500,6.000000,5.187500,6.000000,5.666667,6.000000,5.020833,3.020833,5.020833,7.625000,6.687500,6.000000,5.187500,6.000000,5.666667,6.000000,5.020833
414,8.000000,0,530.000000,일요일,3.843750,6.677083,10.416667,8.843750,7.812500,6.760417,7.979167,7.479167,7.979167,6.510417,3.843750,6.677083,10.416667,8.843750,7.812500,6.760417,7.979167,7.479167,7.979167,6.510417
415,8.000000,0,530.000000,일요일,4.666667,8.333333,13.208333,11.000000,9.625000,8.333333,9.958333,9.291667,9.958333,8.000000,4.666667,8.333333,13.208333,11.000000,9.625000,8.333333,9.958333,9.291667,9.958333,8.000000
416,8.000000,0,530.000000,일요일,5.930556,9.250000,13.361111,11.013889,9.875000,9.027778,10.097222,9.555556,9.347222,7.930556,5.930556,9.250000,13.361111,11.013889,9.875000,9.027778,10.097222,9.555556,9.347222,7.930556
417,8.000000,0,530.000000,일요일,7.194444,10.166667,13.513889,11.027778,10.125000,9.722222,10.236111,9.819444,8.736111,7.861111,7.194444,10.166667,13.513889,11.027778,10.125000,9.722222,10.236111,9.819444,8.736111,7.861111
418,8.000000,0,530.000000,일요일,8.458333,11.083333,13.666667,11.041667,10.375000,10.416667,10.375000,10.083333,8.125000,7.791667,8.458333,11.083333,13.666667,11.041667,10.375000,10.416667,10.375000,10.083333,8.125000,7.791667
419,8.000000,0,530.000000,일요일,7.436343,9.747685,12.027778,9.957176,9.540509,9.682870,9.725694,8.821759,7.112269,7.112269,7.436343,9.747685,12.027778,9.957176,9.540509,9.682870,9.725694,8.821759,7.112269,7.112269
420,8.000000,0,530.000000,일요일,6.414352,8.412037,10.388889,8.872685,8.706019,8.949074,9.076389,7.560185,6.099537,6.432870,6.414352,8.412037,10.388889,8.872685,8.706019,8.949074,9.076389,7.560185,6.099537,6.432870
421,8.000000,0,530.000000,일요일,5.392361,7.076389,8.750000,7.788194,7.871528,8.215278,8.427083,6.298611,5.086806,5.753472,5.392361,7.076389,8.750000,7.788194,7.871528,8.215278,8.427083,6.298611,5.086806,5.753472
422,8.000000,0,530.000000,일요일,4.370370,5.740741,7.111111,6.703704,7.037037,7.481481,7.777778,5.037037,4.074074,5.074074,4.370370,5.740741,7.111111,6.703704,7.037037,7.481481,7.777778,5.037037,4.074074,5.074074
423,8.000000,0,530.000000,일요일,5.319444,6.430556,7.468750,7.236111,7.829861,7.736111,7.791667,5.392361,4.763889,5.763889,5.319444,6.430556,7.468750,7.236111,7.829861,7.736111,7.791667,5.392361,4.763889,5.763889
424,8.000000,0,530.000000,일요일,6.268519,7.120370,7.826389,7.768519,8.622685,7.990741,7.805556,5.747685,5.453704,6.453704,6.268519,7.120370,7.826389,7.768519,8.622685,7.990741,7.805556,5.747685,5.453704,6.453704
425,8.000000,0,530.000000,일요일,7.217593,7.810185,8.184028,8.300926,9.415509,8.245370,7.819444,6.103009,6.143519,7.143519,7.217593,7.810185,8.184028,8.300926,9.415509,8.245370,7.819444,6.103009,6.143519,7.143519
426,8.000000,0,530.000000,일요일,8.166667,8.500000,8.541667,8.833333,10.208333,8.500000,7.833333,6.458333,6.833333,7.833333,8.166667,8.500000,8.541667,8.833333,10.208333,8.500000,7.833333,6.458333,6.833333,7.833333
427,8.000000,0,530.000000,일요일,10.152778,9.125000,10.069444,8.638889,9.902778,8.000000,7.208333,5.930556,6.861111,7.402778,10.152778,9.125000,10.069444,8.638889,9.902778,8.000000,7.208333,5.930556,6.861111,7.402778
428,8.000000,0,530.000000,일요일,12.138889,9.750000,11.597222,8.444444,9.597222,7.500000,6.583333,5.402778,6.888889,6.972222,12.138889,9.750000,11.597222,8.444444,9.597222,7.500000,6.583333,5.402778,6.888889,6.972222
429,8.000000,0,530.000000,일요일,14.125000,10.375000,13.125000,8.250000,9.291667,7.000000,5.958333,4.875000,6.916667,6.541667,14.125000,10.375000,13.125000,8.250000,9.291667,7.000000,5.958333,4.875000,6.916667,6.541667
