역번호,호선,updnLine,시간대,요일_카테고리,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_9,congestionCar_10,congestionCar_1_fft,congestionCar_2_fft,congestionCar_3_fft,congestionCar_4_fft,congestionCar_5_fft,congestionCar_6_fft,congestionCar_7_fft,congestionCar_8_fft,congestionCar_9_fft,congestionCar_10_fft
319,8.000000,0,530.000000,일요일,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
320,8.000000,0,530.000000,일요일,0.166667,0.138889,0.138889,0.138889,0.166667,0.166667,0.138889,0.111111,0.111111,0.111111,0.166667,0.138889,0.138889,0.138889,0.166667,0.166667,0.138889,0.111111,0.111111,0.111111
321,8.000000,0,530.000000,일요일,0.333333,0.277778,0.277778,0.277778,0.333333,0.333333,0.277778,0.222222,0.222222,0.222222,0.333333,0.277778,0.277778,0.277778,0.333333,0.333333,0.277778,0.222222,0.222222,0.222222
322,8.000000,0,530.000000,일요일,1.518519,1.481481,1.518519,1.481481,1.555556,1.518519,1.296296,1.222222,1.129630,1.129630,1.518519,1.481481,1.518519,1.481481,1.555556,1.518519,1.296296,1.222222,1.129630,1.129630
323,8.000000,0,530.000000,일요일,2.703704,2.685185,2.759259,2.685185,2.777778,2.703704,2.314815,2.222222,2.037037,2.037037,2.703704,2.685185,2.759259,2.685185,2.777778,2.703704,2.314815,2.222222,2.037037,2.037037
324,8.000000,0,530.000000,일요일,3.888889,3.888889,4.000000,3.888889,4.000000,3.888889,3.333333,3.222222,2.944444,2.944444,3.888889,3.888889,4.000000,3.888889,4.000000,3.888889,3.333333,3.222222,2.944444,2.944444
325,8.000000,0,530.000000,일요일,4.139683,4.349206,4.295238,4.425397,4.628571,4.282540,4.123810,3.606349,3.536508,3.126984,4.139683,4.349206,4.295238,4.425397,4.628571,4.282540,4.123810,3.606349,3.536508,3.126984
326,8.000000,0,530.000000,일요일,4.390476,4.809524,4.590476,4.961905,5.257143,4.676190,4.914286,3.990476,4.128571,3.309524,4.390476,4.809524,4.590476,4.961905,5.257143,4.676190,4.914286,3.990476,4.128571,3.309524
327,8.000000,0,530.000000,일요일,4.641270,5.269841,4.885714,5.498413,5.885714,5.069841,5.704762,4.374603,4.720635,3.492063,4.641270,5.269841,4.885714,5.498413,5.885714,5.069841,5.704762,4.374603,4.720635,3.492063
328,8.000000,0,530.000000,일요일,4.892063,5.730159,5.180952,6.034921,6.514286,5.463492,6.495238,4.758730,5.312698,3.674603,4.892063,5.730159,5.180952,6.034921,6.514286,5.463492,6.495238,4.758730,5.312698,3.674603
329,8.000000,0,530.000000,일요일,5.142857,6.190476,5.476190,6.571429,7.142857,5.857143,7.285714,5.142857,5.904762,3.857143,5.142857,6.190476,5.476190,6.571429,7.142857,5.857143,7.285714,5.142857,5.904762,3.857143
330,8.000000,0,530.000000,일요일,4.595238,5.642857,5.119048,6.833333,7.119048,5.976190,7.214286,4.785714,5.666667,3.785714,4.595238,5.642857,5.119048,6.833333,7.119048,5.976190,7.214286,4.785714,5.666667,3.785714
331,8.000000,0,530.000000,일요일,4.047619,5.095238,4.761905,7.095238,7.095238,6.095238,7.142857,4.428571,5.428571,3.714286,4.047619,5.095238,4.761905,7.095238,7.095238,6.095238,7.142857,4.428571,5.428571,3.714286
332,8.000000,0,530.000000,일요일,4.023810,5.714286,5.714286,7.714286,6.714286,6.714286,7.404762,4.880952,4.880952,3.857143,4.023810,5.714286,5.714286,7.714286,6.714286,6.714286,7.404762,4.880952,4.880952,3.857143
333,8.000000,0,530.000000,일요일,4.000000,6.333333,6.666667,8.333333,6.333333,7.333333,7.666667,5.333333,4.333333,4.000000,4.000000,6.333333,6.666667,8.333333,6.333333,7.333333,7.666667,5.333333,4.333333,4.000000
334,8.000000,0,530.000000,일요일,3.650794,5.777778,6.238095,8.111111,5.888889,6.904762,6.904762,5.222222,4.126984,3.873016,3.650794,5.777778,6.238095,8.111111,5.888889,6.904762,6.904762,5.222222,4.126984,3.873016
335,8.000000,0,530.000000,일요일,3.301587,5.222222,5.809524,7.888889,5.444444,6.476190,6.142857,5.111111,3.920635,3.746032,3.301587,5.222222,5.809524,7.888889,5.444444,6.476190,6.142857,5.111111,3.920635,3.746032
336,8.000000,0,530.000000,일요일,2.952381,4.666667,5.380952,7.666667,5.000000,6.047619,5.380952,5.000000,3.714286,3.619048,2.952381,4.666667,5.380952,7.666667,5.000000,6.047619,5.380952,5.000000,3.714286,3.619048
337,8.000000,0,530.000000,일요일,3.206349,5.238095,6.047619,8.698413,6.063492,6.619048,6.507937,5.365079,4.825397,4.126984,3.206349,5.238095,6.047619,8.698413,6.063492,6.619048,6.507937,5.365079,4.825397,4.126984
338,8.000000,0,530.000000,일요일,3.460317,5.809524,6.714286,9.730159,7.126984,7.190476,7.634921,5.730159,5.936508,4.634921,3.460317,5.809524,6.714286,9.730159,7.126984,7.190476,7.634921,5.730159,5.936508,4.634921
339,8.000000,0,530.000000,일요일,3.714286,6.380952,7.380952,10.761905,8.190476,7.761905,8.761905,6.095238,7.047619,5.142857,3.714286,6.380952,7.380952,10.761905,8.190476,7.761905,8.761905,6.095238,7.047619,5.142857
340,8.000000,0,530.000000,일요일,3.825397,6.285714,7.984127,9.746032,7.269841,6.746032,7.698413,5.396825,6.063492,4.460317,3.825397,6.285714,7.984127,9.746032,7.269841,6.746032,7.698413,5.396825,6.063492,4.460317
341,8.000000,0,530.000000,일요일,3.936508,6.190476,8.587302,8.730159,6.349206,5.730159,6.634921,4.698413,5.079365,3.777778,3.936508,6.190476,8.587302,8.730159,6.349206,5.730159,6.634921,4.698413,5.079365,3.777778
342,8.000000,0,530.000000,일요일,4.047619,6.095238,9.190476,7.714286,5.428571,4.714286,5.571429,4.000000,4.095238,3.095238,4.047619,6.095238,9.190476,7.714286,5.428571,4.714286,5.571429,4.000000,4.095238,3.095238
343,8.000000,0,530.000000,일요일,4.050265,5.767196,8.941799,7.272487,5.100529,5.031746,5.621693,3.944444,3.989418,2.952381,4.050265,5.767196,8.941799,7.272487,5.100529,5.031746,5.621693,3.944444,3.989418,2.952381
344,8.000000,0,530.000000,일요일,4.052910,5.439153,8.693122,6.830688,4.772487,5.349206,5.671958,3.888889,3.883598,2.809524,4.052910,5.439153,8.693122,6.830688,4.772487,5.349206,5.671958,3.888889,3.883598,2.809524
345,8.000000,0,530.000000,일요일,4.055556,5.111111,8.444444,6.388889,4.444444,5.666667,5.722222,3.833333,3.777778,2.666667,4.055556,5.111111,8.444444,6.388889,4.444444,5.666667,5.722222,3.833333,3.777778,2.666667
346,8.000000,0,530.000000,일요일,4.625000,5.833333,8.750000,7.041667,5.083333,5.833333,5.958333,4.458333,4.500000,2.916667,4.625000,5.833333,8.750000,7.041667,5.083333,5.833333,5.958333,4.458333,4.500000,2.916667
347,8.000000,0,530.000000,일요일,5.194444,6.555556,9.055556,7.694444,5.722222,6.000000,6.194444,5.083333,5.222222,3.166667,5.194444,6.555556,9.055556,7.694444,5.722222,6.000000,6.194444,5.083333,5.222222,3.166667
348,8.000000,0,530.000000,일요일,5.763889,7.277778,9.361111,8.347222,6.361111,6.166667,6.430556,5.708333,5.944444,3.416667,5.763889,7.277778,9.361111,8.347222,6.361111,6.166667,6.430556,5.708333,5.944444,3.416667
349,8.000000,0,530.000000,일요일,6.333333,8.000000,9.666667,9.000000,7.000000,6.333333,6.666667,6.333333,6.666667,3.666667,6.333333,8.000000,9.666667,9.000000,7.000000,6.333333,6.666667,6.333333,6.666667,3.666667
350,8.000000,0,530.000000,일요일,6.333333,8.000000,9.666667,9.000000,7.000000,6.333333,6.666667,6.333333,6.666667,3.666667,6.333333,8.000000,9.666667,9.000000,7.000000,6.333333,6.666667,6.333333,6.666667,3.666667
351,8.000000,0,530.000000,일요일,6.333333,8.000000,9.666667,9.000000,7.000000,6.333333,6.666667,6.333333,6.666667,3.666667,6.333333,8.000000,9.666667,9.000000,7.000000,6.333333,6.666667,6.333333,6.666667,3.666667
352,8.000000,0,530.000000,일요일,6.333333,8.000000,9.666667,9.000000,7.000000,6.333333,6.666667,6.333333,6.666667,3.666667,6.333333,8.000000,9.666667,9.000000,7.000000,6.333333,6.666667,6.333333,6.666667,3.666667
319,8.000000,0,530.000000,토요일,0.416667,0.416667,0.416667,0.500000,0.500000,0.416667,0.416667,0.416667,0.333333,0.333333,0.416667,0.416667,0.416667,0.500000,0.500000,0.416667,0.416667,0.416667,0.333333,0.333333
320,8.000000,0,530.000000,토요일,0.430556,0.402778,0.402778,0.444444,0.472222,0.430556,0.402778,0.375000,0.333333,0.333333,0.430556,0.402778,0.402778,0.444444,0.472222,0.430556,0.402778,0.375000,0.333333,0.333333
321,8.000000,0,530.000000,토요일,0.444444,0.388889,0.388889,0.388889,0.444444,0.444444,0.388889,0.333333,0.333333,0.333333,0.444444,0.388889,0.388889,0.388889,0.444444,0.444444,0.388889,0.333333,0.333333,0.333333
322,8.000000,0,530.000000,토요일,2.092593,2.018519,2.148148,2.018519,2.185185,2.092593,1.796296,1.666667,1.666667,1.666667,2.092593,2.018519,2.148148,2.018519,2.185185,2.092593,1.796296,1.666667,1.666667,1.666667
323,8.000000,0,530.000000,토요일,3.740741,3.648148,3.907407,3.648148,3.925926,3.740741,3.203704,3.000000,3.000000,3.000000,3.740741,3.648148,3.907407,3.648148,3.925926,3.740741,3.203704,3.000000,3.000000,3.000000
324,8.000000,0,530.000000,토요일,5.388889,5.277778,5.666667,5.277778,5.666667,5.388889,4.611111,4.333333,4.333333,4.333333,5.388889,5.277778,5.666667,5.277778,5.666667,5.388889,4.611111,4.333333,4.333333,4.333333
325,8.000000,0,530.000000,토요일,5.682540,5.917460,6.028571,6.107937,6.485714,5.996825,5.746032,4.895238,5.114286,4.504762,5.682540,5.917460,6.028571,6.107937,6.485714,5.996825,5.746032,4.895238,5.114286,4.504762
326,8.000000,0,530.000000,토요일,5.976190,6.557143,6.390476,6.938095,7.304762,6.604762,6.880952,5.457143,5.895238,4.676190,5.976190,6.557143,6.390476,6.938095,7.304762,6.604762,6.880952,5.457143,5.895238,4.676190
327,8.000000,0,530.000000,토요일,6.269841,7.196825,6.752381,7.768254,8.123810,7.212698,8.015873,6.019048,6.676190,4.847619,6.269841,7.196825,6.752381,7.768254,8.123810,7.212698,8.015873,6.019048,6.676190,4.847619
328,8.000000,0,530.000000,토요일,6.563492,7.836508,7.114286,8.598413,8.942857,7.820635,9.150794,6.580952,7.457143,5.019048,6.563492,7.836508,7.114286,8.598413,8.942857,7.820635,9.150794,6.580952,7.457143,5.019048
329,8.000000,0,530.000000,토요일,6.857143,8.476190,7.476190,9.428571,9.761905,8.428571,10.285714,7.142857,8.238095,5.190476,6.857143,8.476190,7.476190,9.428571,9.761905,8.428571,10.285714,7.142857,8.238095,5.190476
330,8.000000,0,530.000000,토요일,6.119048,7.761905,6.928571,9.380952,9.690476,8.357143,10.190476,6.619048,7.809524,4.952381,6.119048,7.761905,6.928571,9.380952,9.690476,8.357143,10.190476,6.619048,7.809524,4.952381
331,8.000000,0,530.000000,토요일,5.380952,7.047619,6.380952,9.333333,9.619048,8.285714,10.095238,6.095238,7.380952,4.714286,5.380952,7.047619,6.380952,9.333333,9.619048,8.285714,10.095238,6.095238,7.380952,4.714286
332,8.000000,0,530.000000,토요일,5.357143,8.023810,8.023810,10.666667,9.476190,9.476190,10.547619,6.714286,6.857143,5.357143,5.357143,8.023810,8.023810,10.666667,9.476190,9.476190,10.547619,6.714286,6.857143,5.357143
333,8.000000,0,530.000000,토요일,5.333333,9.000000,9.666667,12.000000,9.333333,10.666667,11.000000,7.333333,6.333333,6.000000,5.333333,9.000000,9.666667,12.000000,9.333333,10.666667,11.000000,7.333333,6.333333,6.000000
334,8.000000,0,530.000000,토요일,4.841270,7.920635,8.761905,11.365079,8.492063,9.777778,9.777778,7.031746,5.746032,5.507937,4.841270,7.920635,8.761905,11.365079,8.492063,9.777778,9.777778,7.031746,5.746032,5.507937
335,8.000000,0,530.000000,토요일,4.349206,6.841270,7.857143,10.730159,7.650794,8.888889,8.555556,6.730159,5.158730,5.015873,4.349206,6.841270,7.857143,10.730159,7.650794,8.888889,8.555556,6.730159,5.158730,5.015873
336,8.000000,0,530.000000,토요일,3.857143,5.761905,6.952381,10.095238,6.809524,8.000000,7.333333,6.428571,4.571429,4.523810,3.857143,5.761905,6.952381,10.095238,6.809524,8.000000,7.333333,6.428571,4.571429,4.523810
337,8.000000,0,530.000000,토요일,4.428571,7.047619,8.285714,12.126984,8.730159,9.222222,9.222222,7.285714,6.380952,5.650794,4.428571,7.047619,8.285714,12.126984,8.730159,9.222222,9.222222,7.285714,6.380952,5.650794
338,8.000000,0,530.000000,토요일,5.000000,8.333333,9.619048,14.158730,10.650794,10.444444,11.111111,8.142857,8.190476,6.777778,5.000000,8.333333,9.619048,14.158730,10.650794,10.444444,11.111111,8.142857,8.190476,6.777778
339,8.000000,0,530.000000,토요일,5.571429,9.619048,10.952381,16.190476,12.571429,11.666667,13.000000,9.000000,10.000000,7.904762,5.571429,9.619048,10.952381,16.190476,12.571429,11.666667,13.000000,9.000000,10.000000,7.904762
340,8.000000,0,530.000000,토요일,5.666667,9.507937,11.920635,14.650794,11.142857,10.126984,11.349206,8.015873,8.777778,6.825397,5.666667,9.507937,11.920635,14.650794,11.142857,10.126984,11.349206,8.015873,8.777778,6.825397
341,8.000000,0,530.000000,토요일,5.761905,9.396825,12.888889,13.111111,9.714286,8.587302,9.698413,7.031746,7.555556,5.746032,5.761905,9.396825,12.888889,13.111111,9.714286,8.587302,9.698413,7.031746,7.555556,5.746032
342,8.000000,0,530.000000,토요일,5.857143,9.285714,13.857143,11.571429,8.285714,7.047619,8.047619,6.047619,6.333333,4.666667,5.857143,9.285714,13.857143,11.571429,8.285714,7.047619,8.047619,6.047619,6.333333,4.666667
343,8.000000,0,530.000000,토요일,5.756614,8.616402,12.978836,10.455026,7.579365,7.124339,7.735450,5.753968,5.925926,4.444444,5.756614,8.616402,12.978836,10.455026,7.579365,7.124339,7.735450,5.753968,5.925926,4.444444
344,8.000000,0,530.000000,토요일,5.656085,7.947090,12.100529,9.338624,6.873016,7.201058,7.423280,5.460317,5.518519,4.222222,5.656085,7.947090,12.100529,9.338624,6.873016,7.201058,7.423280,5.460317,5.518519,4.222222
345,8.000000,0,530.000000,토요일,5.555556,7.277778,11.222222,8.222222,6.166667,7.277778,7.111111,5.166667,5.111111,4.000000,5.555556,7.277778,11.222222,8.222222,6.166667,7.277778,7.111111,5.166667,5.111111,4.000000
346,8.000000,0,530.000000,토요일,6.833333,8.708333,12.083333,9.833333,7.375000,8.125000,7.833333,6.291667,6.250000,4.416667,6.833333,8.708333,12.083333,9.833333,7.375000,8.125000,7.833333,6.291667,6.250000,4.416667
347,8.000000,0,530.000000,토요일,8.111111,10.138889,12.944444,11.444444,8.583333,8.972222,8.555556,7.416667,7.388889,4.833333,8.111111,10.138889,12.944444,11.444444,8.583333,8.972222,8.555556,7.416667,7.388889,4.833333
348,8.000000,0,530.000000,토요일,9.388889,11.569444,13.805556,13.055556,9.791667,9.819444,9.277778,8.541667,8.527778,5.250000,9.388889,11.569444,13.805556,13.055556,9.791667,9.819444,9.277778,8.541667,8.527778,5.250000
349,8.000000,0,530.000000,토요일,10.666667,13.000000,14.666667,14.666667,11.000000,10.666667,10.000000,9.666667,9.666667,5.666667,10.666667,13.000000,14.666667,14.666667,11.000000,10.666667,10.000000,9.666667,9.666667,5.666667
350,8.000000,0,530.000000,토요일,10.666667,13.000000,14.666667,14.666667,11.000000,10.666667,10.000000,9.666667,9.666667,5.666667,10.666667,13.000000,14.666667,14.666667,11.000000,10.666667,10.000000,9.666667,9.666667,5.666667
351,8.000000,0,530.000000,토요일,10.666667,13.000000,14.666667,14.666667,11.000000,10.666667,10.000000,9.666667,9.666667,5.666667,10.666667,13.000000,14.666667,14.666667,11.000000,10.666667,10.000000,9.666667,9.666667,5.666667
352,8.000000,0,530.000000,토요일,10.666667,13.000000,14.666667,14.666667,11.000000,10.666667,10.000000,9.666667,9.666667,5.666667,10.666667,13.000000,14.666667,14.666667,11.000000,10.666667,10.000000,9.666667,9.666667,5.666667
