역번호,호선,updnLine,시간대,요일_카테고리,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_1_fft,congestionCar_2_fft,congestionCar_3_fft,congestionCar_4_fft,congestionCar_5_fft,congestionCar_6_fft,congestionCar_7_fft,congestionCar_8_fft
510,8.000000,0,530.000000,일요일,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
511,8.000000,0,530.000000,일요일,1.280423,1.470899,2.280423,2.476190,2.465608,2.555556,2.333333,1.555556,1.280423,1.470899,2.280423,2.476190,2.465608,2.555556,2.333333,1.555556
512,8.000000,0,530.000000,일요일,2.560847,2.941799,4.560847,4.952381,4.931217,5.111111,4.666667,3.111111,2.560847,2.941799,4.560847,4.952381,4.931217,5.111111,4.666667,3.111111
513,8.000000,0,530.000000,일요일,3.841270,4.412698,6.841270,7.428571,7.396825,7.666667,7.000000,4.666667,3.841270,4.412698,6.841270,7.428571,7.396825,7.666667,7.000000,4.666667
514,8.000000,0,530.000000,일요일,5.121693,5.883598,9.121693,9.904762,9.862434,10.222222,9.333333,6.222222,5.121693,5.883598,9.121693,9.904762,9.862434,10.222222,9.333333,6.222222
515,8.000000,0,530.000000,일요일,6.402116,7.354497,11.402116,12.380952,12.328042,12.777778,11.666667,7.777778,6.402116,7.354497,11.402116,12.380952,12.328042,12.777778,11.666667,7.777778
516,8.000000,0,530.000000,일요일,7.682540,8.825397,13.682540,14.857143,14.793651,15.333333,14.000000,9.333333,7.682540,8.825397,13.682540,14.857143,14.793651,15.333333,14.000000,9.333333
517,8.000000,0,530.000000,일요일,8.962963,10.296296,15.962963,17.333333,17.259259,17.888889,16.333333,10.888889,8.962963,10.296296,15.962963,17.333333,17.259259,17.888889,16.333333,10.888889
518,8.000000,0,530.000000,일요일,8.253086,9.135802,14.265432,15.543210,15.530864,15.907407,14.234568,9.481481,8.253086,9.135802,14.265432,15.543210,15.530864,15.907407,14.234568,9.481481
519,8.000000,0,530.000000,일요일,7.543210,7.975309,12.567901,13.753086,13.802469,13.925926,12.135802,8.074074,7.543210,7.975309,12.567901,13.753086,13.802469,13.925926,12.135802,8.074074
520,8.000000,0,530.000000,일요일,6.833333,6.814815,10.870370,11.962963,12.074074,11.944444,10.037037,6.666667,6.833333,6.814815,10.870370,11.962963,12.074074,11.944444,10.037037,6.666667
521,8.000000,0,530.000000,일요일,6.123457,5.654321,9.172840,10.172840,10.345679,9.962963,7.938272,5.259259,6.123457,5.654321,9.172840,10.172840,10.345679,9.962963,7.938272,5.259259
522,8.000000,0,530.000000,일요일,5.413580,4.493827,7.475309,8.382716,8.617284,7.981481,5.839506,3.851852,5.413580,4.493827,7.475309,8.382716,8.617284,7.981481,5.839506,3.851852
523,8.000000,0,530.000000,일요일,4.703704,3.333333,5.777778,6.592593,6.888889,6.000000,3.740741,2.444444,4.703704,3.333333,5.777778,6.592593,6.888889,6.000000,3.740741,2.444444
524,8.000000,0,530.000000,일요일,4.753086,3.753086,6.444444,7.543210,7.086420,6.283951,4.135802,3.469136,4.753086,3.753086,6.444444,7.543210,7.086420,6.283951,4.135802,3.469136
525,8.000000,0,530.000000,일요일,4.802469,4.172840,7.111111,8.493827,7.283951,6.567901,4.530864,4.493827,4.802469,4.172840,7.111111,8.493827,7.283951,6.567901,4.530864,4.493827
526,8.000000,0,530.000000,일요일,4.851852,4.592593,7.777778,9.444444,7.481481,6.851852,4.925926,5.518519,4.851852,4.592593,7.777778,9.444444,7.481481,6.851852,4.925926,5.518519
527,8.000000,0,530.000000,일요일,4.617284,4.913580,8.469136,9.037037,7.160494,6.530864,4.938272,5.308642,4.617284,4.913580,8.469136,9.037037,7.160494,6.530864,4.938272,5.308642
528,8.000000,0,530.000000,일요일,4.382716,5.234568,9.160494,8.629630,6.839506,6.209877,4.950617,5.098765,4.382716,5.234568,9.160494,8.629630,6.839506,6.209877,4.950617,5.098765
529,8.000000,0,530.000000,일요일,4.148148,5.555556,9.851852,8.222222,6.518519,5.888889,4.962963,4.888889,4.148148,5.555556,9.851852,8.222222,6.518519,5.888889,4.962963,4.888889
530,8.000000,0,530.000000,일요일,4.148148,5.861111,10.601852,9.231481,6.907407,6.388889,5.351852,4.666667,4.148148,5.861111,10.601852,9.231481,6.907407,6.388889,5.351852,4.666667
531,8.000000,0,530.000000,일요일,4.148148,6.166667,11.351852,10.240741,7.296296,6.888889,5.740741,4.444444,4.148148,6.166667,11.351852,10.240741,7.296296,6.888889,5.740741,4.444444
532,8.000000,0,530.000000,일요일,4.148148,6.472222,12.101852,11.250000,7.685185,7.388889,6.129630,4.222222,4.148148,6.472222,12.101852,11.250000,7.685185,7.388889,6.129630,4.222222
533,8.000000,0,530.000000,일요일,4.148148,6.777778,12.851852,12.259259,8.074074,7.888889,6.518519,4.000000,4.148148,6.777778,12.851852,12.259259,8.074074,7.888889,6.518519,4.000000
534,8.000000,0,530.000000,일요일,4.790123,6.654321,12.814815,11.345679,8.135802,8.481481,7.839506,6.925926,4.790123,6.654321,12.814815,11.345679,8.135802,8.481481,7.839506,6.925926
535,8.000000,0,530.000000,일요일,5.432099,6.530864,12.777778,10.432099,8.197531,9.074074,9.160494,9.851852,5.432099,6.530864,12.777778,10.432099,8.197531,9.074074,9.160494,9.851852
536,8.000000,0,530.000000,일요일,6.074074,6.407407,12.740741,9.518519,8.259259,9.666667,10.481481,12.777778,6.074074,6.407407,12.740741,9.518519,8.259259,9.666667,10.481481,12.777778
537,8.000000,0,530.000000,일요일,6.888889,8.601852,15.129630,10.907407,9.925926,10.592593,11.962963,14.907407,6.888889,8.601852,15.129630,10.907407,9.925926,10.592593,11.962963,14.907407
538,8.000000,0,530.000000,일요일,7.703704,10.796296,17.518519,12.296296,11.592593,11.518519,13.444444,17.037037,7.703704,10.796296,17.518519,12.296296,11.592593,11.518519,13.444444,17.037037
539,8.000000,0,530.000000,일요일,8.518519,12.990741,19.907407,13.685185,13.259259,12.444444,14.925926,19.166667,8.518519,12.990741,19.907407,13.685185,13.259259,12.444444,14.925926,19.166667
