역번호,호선,updnLine,시간대,요일_카테고리,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_1_fft,congestionCar_2_fft,congestionCar_3_fft,congestionCar_4_fft,congestionCar_5_fft,congestionCar_6_fft,congestionCar_7_fft,congestionCar_8_fft
734,7.000000,0.000000,530.000000,일요일,13.814815,19.740741,24.814815,10.259259,15.703704,13.703704,11.444444,12.666667,27.629630,39.481481,49.629630,25.925926,31.407407,27.407407,23.925926,25.333333
735,7.000000,0.000000,530.000000,일요일,18.212963,24.833333,29.527778,14.675926,19.462963,17.638889,14.833333,14.972222,36.425926,49.666667,59.055556,29.351852,38.925926,35.277778,29.666667,29.944444
736,7.000000,0.000000,530.000000,일요일,22.611111,29.925926,34.240741,19.092593,23.222222,21.574074,18.222222,17.277778,45.222222,59.851852,68.481481,38.185185,46.444444,43.148148,36.444444,34.555556
737,7.000000,0.000000,530.000000,일요일,27.009259,35.018519,38.953704,23.509259,26.981481,25.509259,21.611111,19.583333,54.018519,70.037037,77.907407,47.018519,53.962963,51.018519,43.222222,39.166667
738,7.000000,0.000000,530.000000,일요일,31.407407,40.111111,43.666667,27.925926,30.740741,29.444444,25.000000,21.888889,62.814815,80.222222,87.333333,55.851852,61.481481,58.888889,50.000000,43.777778
739,7.000000,0.000000,530.000000,일요일,29.351852,37.231481,40.277778,27.166667,28.944444,27.870370,24.055556,20.046296,58.703704,74.462963,80.555556,54.333333,57.888889,55.740741,48.111111,40.092593
740,7.000000,0.000000,530.000000,일요일,27.296296,34.351852,36.888889,26.407407,27.148148,26.296296,23.111111,18.203704,54.592593,68.703704,73.777778,52.814815,54.296296,52.592593,46.222222,36.407407
741,7.000000,0.000000,530.000000,일요일,25.240741,31.472222,33.500000,25.648148,25.351852,24.722222,22.166667,16.361111,50.481481,62.944444,67.000000,51.296296,50.703704,49.444444,44.333333,32.722222
742,7.000000,0.000000,530.000000,일요일,23.185185,28.592593,30.111111,24.888889,23.555556,23.148148,21.222222,14.518519,46.370370,57.185185,60.222222,49.777778,47.111111,46.296296,42.444444,29.037037
743,7.000000,0.000000,530.000000,일요일,22.263889,26.527778,29.437500,24.718750,22.750000,24.204861,21.864583,16.065972,44.527778,53.055556,58.875000,49.437500,45.500000,48.409722,43.729167,32.131944
744,7.000000,0.000000,530.000000,일요일,21.342593,24.462963,28.763889,24.548611,21.944444,25.261574,22.506944,17.613426,42.685185,48.925926,57.527778,49.097222,43.888889,50.523148,45.013889,35.226852
745,7.000000,0.000000,530.000000,일요일,20.421296,22.398148,28.090278,24.378472,21.138889,26.318287,23.149306,19.160880,40.842593,44.796296,56.180556,48.756944,42.277778,52.636574,46.298611,38.321759
746,7.000000,0.000000,530.000000,일요일,19.500000,20.333333,27.416667,24.208333,20.333333,27.375000,23.791667,20.708333,39.000000,40.666667,54.833333,48.416667,40.666667,54.750000,47.583333,41.416667
747,7.000000,0.000000,530.000000,일요일,18.916667,20.138889,25.604167,23.670139,20.944444,26.003472,22.940972,21.336806,37.833333,40.277778,51.208333,47.340278,41.888889,52.006944,45.881944,42.673611
748,7.000000,0.000000,530.000000,일요일,18.333333,19.944444,23.791667,23.131944,21.555556,24.631944,22.090278,21.965278,36.666667,39.888889,47.583333,46.263889,43.111111,49.263889,44.180556,43.930556
749,7.000000,0.000000,530.000000,일요일,17.750000,19.750000,21.979167,22.593750,22.166667,23.260417,21.239583,22.593750,35.500000,39.500000,43.958333,45.187500,44.333333,46.520833,42.479167,45.187500
750,7.000000,0.000000,530.000000,일요일,17.166667,19.555556,20.166667,22.055556,22.777778,21.888889,20.388889,23.222222,34.333333,39.111111,40.333333,44.111111,45.555556,43.777778,40.777778,46.444444
709,7.000000,0.000000,530.000000,토요일,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
710,7.000000,0.000000,530.000000,토요일,4.231481,2.648148,2.074074,1.990741,1.990741,2.129630,2.120370,1.990741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
711,7.000000,0.000000,530.000000,토요일,8.462963,5.296296,4.148148,3.981481,3.981481,4.259259,4.240741,3.981481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
712,7.000000,0.000000,530.000000,토요일,12.694444,7.944444,6.222222,5.972222,5.972222,6.388889,6.361111,5.972222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
713,7.000000,0.000000,530.000000,토요일,16.925926,10.592593,8.296296,7.962963,7.962963,8.518519,8.481481,7.962963,71.583333,49.250000,60.583333,51.166667,54.166667,54.833333,39.916667,33.500000
714,7.000000,0.000000,530.000000,토요일,18.888889,13.037037,11.731481,10.981481,10.527778,10.453704,10.444444,11.046296,82.562500,63.145833,75.166667,65.958333,69.979167,71.000000,52.958333,43.729167
715,7.000000,0.000000,530.000000,토요일,20.851852,15.481481,15.166667,14.000000,13.092593,12.388889,12.407407,14.129630,93.541667,77.041667,89.750000,80.750000,85.791667,87.166667,66.000000,53.958333
